"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
115,"Georgia Tech","ACC","0-0",0.629190549005507,100.081996773238,200,95.5846191501172,63,67.47106669,208,"13.4-17.6","5.6-12.4",0,50,2014-11-13
101,"Georgia Tech","ACC","1-0",0.660119709409701,101.17251368307,163,95.4977766281945,65,68.1588106183391,162,"14.5-16.5","5.9-12.1",0.407496536050414,4,2014-11-14
102,"Georgia Tech","ACC","1-0",0.659899290761063,101.195604879764,161,95.5277317876738,65,68.1568569422737,165,"14.5-16.5","5.8-12.2",0.407809921641275,5,2014-11-15
102,"Georgia Tech","ACC","1-0",0.659488447873309,101.13994482358,156,95.4903838549262,66,68.1521836229247,168,"14.5-16.5","5.8-12.2",0.411963045206813,7,2014-11-16
102,"Georgia Tech","ACC","1-0",0.658911260631797,101.110848133694,153,95.4842421988078,70,68.1473497998532,166,"14.3-16.7","5.7-12.3",0.414862302827438,11,2014-11-17
99,"Georgia Tech","ACC","2-0",0.666583544553915,100.832590956443,163,94.9376615976584,61,67.7635061407836,196,"14.5-16.5","5.9-12.1",0.417298477971873,22,2014-11-18
101,"Georgia Tech","ACC","2-0",0.665955606017023,100.801129662583,166,94.9313489488601,63,67.7144938241274,197,"14.6-16.4","5.9-12.1",0.409111863041894,22,2014-11-19
102,"Georgia Tech","ACC","2-0",0.665728843102635,100.788646911149,168,94.9280056100883,66,67.6896508161802,193,"14.6-16.4","5.9-12.1",0.400839405492177,26,2014-11-20
98,"Georgia Tech","ACC","3-0",0.672849543888552,101.233050010658,152,95.0802051767019,67,67.7422512624243,184,"14.9-16.1","6.1-11.9",0.482216815685448,28,2014-11-21
97,"Georgia Tech","ACC","3-0",0.672397444794112,101.287772133384,152,95.1485869033293,71,67.6983465542716,181,"15.1-15.9","6.1-11.9",0.486302182260123,26,2014-11-22
100,"Georgia Tech","ACC","3-0",0.67179822704522,101.296839391707,151,95.1796056288015,76,67.6008489199689,182,"15.1-15.9","6.1-11.9",0.488467764705932,28,2014-11-23
99,"Georgia Tech","ACC","3-0",0.672333661439283,101.336120026926,149,95.1964011551024,74,67.5339248343925,177,"15-16","6-12",0.488602058180229,32,2014-11-24
98,"Georgia Tech","ACC","3-0",0.67182684730452,101.347247527027,152,95.2258947699864,77,67.4374388955912,176,"15.1-15.9","6.1-11.9",0.487371906192863,36,2014-11-25
101,"Georgia Tech","ACC","3-0",0.670329306359704,101.255884256279,146,95.1961942991207,75,67.4136851999949,179,"14.9-16.1","5.9-12.1",0.478214764865787,39,2014-11-26
109,"Georgia Tech","ACC","3-1",0.66094967015608,101.580995629133,141,95.852490761387,82,67.3418913195842,182,"14.2-16.8","5.7-12.3",-0.148902551408519,102,2014-11-27
104,"Georgia Tech","ACC","4-1",0.66953112563734,101.365974516629,149,95.3296138522618,75,66.832157656341,203,"14.6-16.4","5.8-12.2",0.00791183271658102,82,2014-11-28
106,"Georgia Tech","ACC","4-1",0.667539256483151,101.398004838556,152,95.4343021079051,76,66.72233543953,200,"14.4-16.6","5.8-12.2",0.0112007492493205,79,2014-11-29
97,"Georgia Tech","ACC","5-1",0.689641885779735,101.385338638373,149,94.5849561511543,58,67.0674370830704,173,"15.5-15.5","6.1-11.9",0.448224526126541,42,2014-11-30
95,"Georgia Tech","ACC","5-1",0.690047380194968,101.392620936355,149,94.5761625814923,57,67.0552613734406,173,"15.5-15.5","6.2-11.8",0.448513001355789,42,2014-12-01
95,"Georgia Tech","ACC","5-1",0.692067207022504,101.402534689564,147,94.5076293046904,58,67.076600484854,170,"15.6-15.4","6.2-11.8",0.447416984996609,44,2014-12-02
84,"Georgia Tech","ACC","6-1",0.729591101348285,102.379512579121,133,93.9138631183324,47,67.184379613158,160,"16.9-14.1","6.8-11.2",0.869505014462526,26,2014-12-03
86,"Georgia Tech","ACC","6-1",0.728825088670812,102.343823493693,134,93.9127991099886,49,67.1813117745338,160,"16.8-14.2","6.8-11.2",0.882851622295692,26,2014-12-04
86,"Georgia Tech","ACC","6-1",0.728238023728176,102.332146056206,133,93.9263247346705,52,67.1783112805537,159,"16.8-14.2","6.8-11.2",0.897719667650658,26,2014-12-05
90,"Georgia Tech","ACC","6-2",0.717058360400802,101.152329854996,157,93.2948852609892,45,67.3611051072019,142,"15.7-15.3","6.6-11.4",-0.0363618912483967,78,2014-12-06
89,"Georgia Tech","ACC","6-2",0.720849200689859,101.257368873552,153,93.2395285850416,44,67.35969147014,139,"15.8-15.2","6.7-11.3",-0.0139095818942158,76,2014-12-07
90,"Georgia Tech","ACC","6-2",0.718982292580043,101.367165553839,152,93.4158111224398,46,67.4002564031659,133,"15.8-15.2","6.7-11.3",-0.0295490789113175,76,2014-12-08
90,"Georgia Tech","ACC","6-2",0.719291365038677,101.365835189777,151,93.4021559481665,46,67.3894415957723,132,"15.8-15.2","6.7-11.3",-0.0153365146403931,74,2014-12-09
90,"Georgia Tech","ACC","6-2",0.718028195858193,101.40909751321,152,93.4927966816827,49,67.4260912674591,128,"15.8-15.2","6.7-11.3",-0.0343895056577143,71,2014-12-10
90,"Georgia Tech","ACC","6-2",0.717992604837609,101.427363031682,152,93.511065688139,49,67.4035816237855,126,"15.8-15.2","6.7-11.3",-0.0512497919545631,72,2014-12-11
90,"Georgia Tech","ACC","6-2",0.717886745529987,101.42943348907,152,93.5172254691998,49,67.4078092301148,126,"15.8-15.2","6.6-11.4",-0.0497623793852728,72,2014-12-12
87,"Georgia Tech","ACC","6-2",0.722669848898224,101.623835750311,147,93.5032356835078,46,67.3650984415064,131,"15.9-15.1","6.7-11.3",-0.0590212344271133,66,2014-12-13
85,"Georgia Tech","ACC","6-2",0.724665834386669,101.645743067582,147,93.4422548374489,44,67.3927647153765,125,"16-15","6.8-11.2",-0.0669682818851357,65,2014-12-14
85,"Georgia Tech","ACC","7-2",0.724886434616572,101.533649857969,150,93.3302327394804,43,67.2922077136434,132,"16-15","6.8-11.2",-0.0132719824234321,64,2014-12-15
85,"Georgia Tech","ACC","7-2",0.727687193313919,101.685208541763,149,93.3551053992541,43,67.1865183038942,139,"16.1-14.9","6.8-11.2",0.0130457849198252,62,2014-12-16
85,"Georgia Tech","ACC","7-2",0.726900333104457,101.515855562943,154,93.2317835378024,46,67.1783473146649,139,"16.1-14.9","6.8-11.2",-0.0233900740381825,62,2014-12-17
84,"Georgia Tech","ACC","7-2",0.728944153845936,101.615069113472,153,93.239193872746,46,67.1744881955557,134,"16.1-14.9","6.8-11.2",-0.02356841341919,62,2014-12-18
85,"Georgia Tech","ACC","7-2",0.729485460544393,101.629751315548,151,93.2304391686341,46,67.2089643202606,132,"16.3-14.7","7-11",0.00925053716138513,60,2014-12-19
82,"Georgia Tech","ACC","8-2",0.742756666465931,102.220094155747,138,93.2164559292254,47,66.8752742790831,146,"16.8-14.2","7.1-10.9",0.320832396530321,48,2014-12-20
70,"Georgia Tech","ACC","8-2",0.751455064730073,102.569269492441,131,93.1611453255546,47,66.9438017780433,140,"17-14","7.3-10.7",0.296050086205374,48,2014-12-21
73,"Georgia Tech","ACC","8-2",0.748340366138425,102.60643477405,129,93.3295833527947,56,67.1141872408479,127,"16.9-14.1","7.1-10.9",0.308847055540009,45,2014-12-22
84,"Georgia Tech","ACC","8-3",0.728746922555547,102.817588340794,127,94.3507799769738,66,67.068252897361,129,"16.1-14.9","6.8-11.2",-0.0774183929763407,62,2014-12-23
84,"Georgia Tech","ACC","8-3",0.728746922555987,102.817588340804,127,94.3507799769649,66,67.0680973326541,129,"16.1-14.9","6.8-11.2",-0.0774183929720503,62,2014-12-24
84,"Georgia Tech","ACC","8-3",0.728104234955272,102.79306868517,128,94.3549315632116,66,67.0735797749922,128,"16.1-14.9","6.8-11.2",-0.0706019446512024,62,2014-12-25
84,"Georgia Tech","ACC","8-3",0.727798153820649,102.779872889883,128,94.3554992387627,66,67.0738546917573,128,"16.1-14.9","6.8-11.2",-0.0700922392772652,62,2014-12-26
85,"Georgia Tech","ACC","8-3",0.72710325988124,102.74124450796,127,94.3487873399975,66,67.0994215378039,128,"16.1-14.9","6.8-11.2",-0.148509848861357,63,2014-12-27
84,"Georgia Tech","ACC","8-3",0.728702250215157,102.752864380179,128,94.2932387589454,66,67.074491072518,129,"16.1-14.9","6.7-11.3",-0.156856878650105,61,2014-12-28
85,"Georgia Tech","ACC","8-3",0.728896831795144,102.646198006031,130,94.1872908446706,67,67.0493832694786,130,"16-15","6.7-11.3",-0.208274065673965,62,2014-12-29
85,"Georgia Tech","ACC","9-3",0.727852929279487,102.63802023859,128,94.223008008781,67,66.7890759507999,140,"16.3-14.7","6.7-11.3",-0.139658854271005,59,2014-12-30
85,"Georgia Tech","ACC","9-3",0.731961385575713,102.965868078847,116,94.3528350946429,67,66.8454962488903,138,"16.3-14.7","6.7-11.3",-0.154718098210797,62,2014-12-31
86,"Georgia Tech","ACC","9-3",0.730599305265186,102.908191812794,119,94.3568379023435,67,66.8667466896153,134,"16.2-14.8","6.7-11.3",-0.175597597222072,64,2015-01-01
88,"Georgia Tech","ACC","9-3",0.727876694615668,102.821113692146,125,94.3901053473871,67,66.8182840057851,137,"16.2-14.8","6.7-11.3",-0.157714365807332,63,2015-01-02
70,"Georgia Tech","ACC","9-4",0.760864622443489,103.376989094548,119,93.4789884297582,55,66.4131453148345,149,"16.7-14.3","7.1-10.9",-0.331413071708312,64,2015-01-03
72,"Georgia Tech","ACC","9-4",0.755731805165397,103.218455959018,121,93.5632107285985,56,66.5019395885303,149,"16.6-14.4","7-11",-0.364004994526306,63,2015-01-04
72,"Georgia Tech","ACC","9-4",0.760164640732924,103.251384147703,119,93.3966173896371,52,66.5744048354894,145,"16.7-14.3","7.1-10.9",-0.320030350657165,63,2015-01-05
73,"Georgia Tech","ACC","9-4",0.76293133537791,103.424998178431,116,93.4297977951985,54,66.6127408569561,139,"16.7-14.3","7.1-10.9",-0.32261884083432,61,2015-01-06
64,"Georgia Tech","ACC","9-5",0.777361410431871,102.413076916739,136,91.8620352980235,44,65.9099082903488,172,"16.4-14.6","6.8-11.2",-1.02327499055887,84,2015-01-07
61,"Georgia Tech","ACC","9-5",0.779543056461386,102.267173671356,141,91.6303154850068,37,65.8058884835096,169,"16.5-14.5","6.9-11.1",-1.07272062645023,84,2015-01-08
61,"Georgia Tech","ACC","9-5",0.779343490732596,102.252906739659,142,91.6267812307143,38,65.9759307481015,169,"16.5-14.5","6.9-11.1",-1.06320540674008,83,2015-01-09
71,"Georgia Tech","ACC","9-6",0.763728085240576,102.776801799814,138,92.8086452180648,52,65.7864623758005,159,"15.8-15.2","6.2-11.8",-1.64432663883929,100,2015-01-10
70,"Georgia Tech","ACC","9-6",0.765582561975459,102.731781817704,138,92.6848997292931,50,65.8187476385168,161,"15.8-15.2","6.2-11.8",-1.61136640275408,99,2015-01-11
70,"Georgia Tech","ACC","9-6",0.765532982693711,102.763154192642,137,92.71543105115,51,66.0280671822941,156,"15.8-15.2","6.2-11.8",-1.62512063703686,100,2015-01-12
68,"Georgia Tech","ACC","9-6",0.76551409365452,102.674101408852,139,92.6359331311759,47,65.8924100686168,156,"15.7-15.3","6.1-11.9",-1.67681579364783,99,2015-01-13
65,"Georgia Tech","ACC","9-7",0.776251376500385,103.012218378195,133,92.4509064579863,45,65.4729699591252,175,"15.5-15.5","5.9-12.1",-2.0654401896533,106,2015-01-14
66,"Georgia Tech","ACC","9-7",0.774379299550244,103.146803563882,134,92.6582413497692,45,65.4964680483108,181,"15.4-15.6","5.8-12.2",-1.99138633312622,106,2015-01-15
66,"Georgia Tech","ACC","9-7",0.7741259005973,103.130326862584,134,92.6551201157397,45,65.4601851730325,181,"15.4-15.6","5.8-12.2",-1.99331071492464,106,2015-01-16
71,"Georgia Tech","ACC","9-8",0.762441498134217,103.533567678231,125,93.5498878390699,60,65.6698569959156,170,"14.7-16.3","5.2-12.8",-2.58549486478361,115,2015-01-17
72,"Georgia Tech","ACC","9-8",0.762279546207966,103.485832936657,124,93.5140250380151,60,65.6851040325892,170,"14.7-16.3","5.2-12.8",-2.57597955450959,115,2015-01-18
71,"Georgia Tech","ACC","9-8",0.763128380514307,103.498603931413,126,93.4874306943158,59,65.5877749109163,170,"14.8-16.2","5.2-12.8",-2.47707200368135,115,2015-01-19
73,"Georgia Tech","ACC","9-8",0.762568648258232,103.510516618121,124,93.5233493279597,57,65.6529497500245,173,"14.8-16.2","5.2-12.8",-2.44227164306543,114,2015-01-20
74,"Georgia Tech","ACC","9-8",0.759668031207709,103.431897637421,125,93.58204965145,56,65.6613544752701,171,"14.8-16.2","5.2-12.8",-2.42655715899793,107,2015-01-21
82,"Georgia Tech","ACC","9-9",0.735371298196269,101.582635551794,161,92.9441604023974,50,65.3251840951543,184,"14.5-16.5","4.9-13.1",-2.56485249396895,106,2015-01-22
82,"Georgia Tech","ACC","9-9",0.735034171598221,101.552672073138,160,92.9307376776927,49,65.1361323328417,184,"14.5-16.5","4.9-13.1",-2.56441108682944,106,2015-01-23
83,"Georgia Tech","ACC","9-9",0.739447058800321,101.555094651491,162,92.7490447097993,44,65.0798006229716,190,"14.5-16.5","5-13",-2.60736929885722,104,2015-01-24
87,"Georgia Tech","ACC","9-10",0.724915495453627,101.593709449978,162,93.3842564476466,50,64.9817845420172,199,"13.6-17.4","4.1-13.9",-3.35663725822662,120,2015-01-25
87,"Georgia Tech","ACC","9-10",0.72560983501518,101.558820700467,162,93.32390430312,48,64.9301996938817,201,"13.6-17.4","4.1-13.9",-3.37824131454493,120,2015-01-26
87,"Georgia Tech","ACC","9-10",0.724355261757247,101.408676548624,166,93.2369357886008,50,64.9138184609651,197,"13.6-17.4","4.1-13.9",-3.35563656822825,120,2015-01-27
73,"Georgia Tech","ACC","10-10",0.772837204476578,102.479832764922,146,92.1296044579442,37,64.833958718148,204,"14.9-16.1","5.4-12.6",-2.57560562949369,103,2015-01-28
73,"Georgia Tech","ACC","10-10",0.773289800103494,102.567812531186,146,92.1880153381086,38,64.8394133027312,205,"14.9-16.1","5.4-12.6",-2.59567431996277,104,2015-01-29
74,"Georgia Tech","ACC","10-10",0.773357666377694,102.567023896084,146,92.184203006335,37,64.7770231810518,205,"14.9-16.1","5.4-12.6",-2.58838717178986,104,2015-01-30
81,"Georgia Tech","ACC","10-11",0.760157676188282,102.865270740513,145,93.0476654287592,45,64.6744461304769,209,"14.2-16.8","4.6-13.4",-3.14344798334724,115,2015-01-31
80,"Georgia Tech","ACC","10-11",0.759948897408436,102.828986098496,144,93.0241036855345,45,64.6261864269758,209,"14.2-16.8","4.6-13.4",-3.12258088637989,115,2015-02-01
81,"Georgia Tech","ACC","10-11",0.759219361577553,102.760689399333,144,92.9946184171814,46,64.6675206828791,209,"14.2-16.8","4.6-13.4",-3.1254090681938,115,2015-02-02
82,"Georgia Tech","ACC","10-11",0.757832981289762,102.604272278826,147,92.914200884565,45,64.6032600013427,210,"14.1-16.9","4.5-13.5",-3.05914734997317,116,2015-02-03
73,"Georgia Tech","ACC","10-12",0.770465242555538,103.20483463981,139,92.8900524562672,44,64.5070297524619,214,"14.2-16.8","4.6-13.4",-3.11018638933669,119,2015-02-04
74,"Georgia Tech","ACC","10-12",0.771577639436736,103.24488111878,139,92.8751962338816,43,64.5190858070778,216,"14.2-16.8","4.6-13.4",-3.10612754745576,115,2015-02-05
74,"Georgia Tech","ACC","10-12",0.771780527745104,103.278429225054,139,92.8960724249483,43,64.5215663347978,215,"14.2-16.8","4.6-13.4",-3.11238571300173,114,2015-02-06
62,"Georgia Tech","ACC","11-12",0.795098867315498,103.804053765835,130,92.2587652299832,38,64.5066487481043,214,"14.8-16.2","5.1-12.9",-2.99858366620058,107,2015-02-07
61,"Georgia Tech","ACC","11-12",0.796407960711219,103.814875743782,129,92.2037822287746,38,64.4758483608281,215,"14.8-16.2","5.2-12.8",-2.97885162533198,106,2015-02-08
63,"Georgia Tech","ACC","11-13",0.787256194087483,103.678227849555,132,92.5281172121893,38,64.5513685596785,215,"14-17","4.4-13.6",-3.68764989736008,124,2015-02-09
65,"Georgia Tech","ACC","11-13",0.785139706768393,103.730451647233,131,92.6761407312424,39,64.4745857722187,215,"14-17","4.4-13.6",-3.60512029708922,120,2015-02-10
65,"Georgia Tech","ACC","11-13",0.785821948478189,103.736904544557,132,92.6492804323021,38,64.5157360050401,214,"14-17","4.4-13.6",-3.60069948068631,118,2015-02-11
66,"Georgia Tech","ACC","11-13",0.786110237829482,103.743159526025,133,92.6410604726486,37,64.5101539942628,213,"14-17","4.4-13.6",-3.6117372991147,118,2015-02-12
66,"Georgia Tech","ACC","11-13",0.786041223030334,103.733148552625,133,92.6354267228415,37,64.5633370971624,214,"14-17","4.4-13.6",-3.61591432986054,118,2015-02-13
69,"Georgia Tech","ACC","11-14",0.776688170149197,102.674439220037,154,92.1275950620493,31,64.506687119426,219,"13.2-17.8","3.6-14.4",-4.48894986132218,135,2015-02-14
67,"Georgia Tech","ACC","11-14",0.777658379297633,102.716982080239,152,92.1208781578162,31,64.3558198336723,218,"13.2-17.8","3.6-14.4",-4.41927706000178,135,2015-02-15
61,"Georgia Tech","ACC","12-14",0.791468970801787,102.906198256387,150,91.6369910394358,26,64.6541844214922,210,"13.7-17.3","4.1-13.9",-4.12275817468391,127,2015-02-16
61,"Georgia Tech","ACC","12-14",0.790842076739021,102.862913284467,151,91.6286715427992,26,64.6541317648594,210,"13.7-17.3","4.1-13.9",-4.08934678938599,126,2015-02-17
62,"Georgia Tech","ACC","12-14",0.792764805015758,102.970262218734,147,91.6313149513814,27,64.4613458824014,209,"13.8-17.2","4.1-13.9",-4.09575895347723,122,2015-02-18
61,"Georgia Tech","ACC","12-14",0.793401280077397,102.976589123987,146,91.6060445792574,26,64.460276547194,204,"13.8-17.2","4.1-13.9",-4.08057722310892,120,2015-02-19
61,"Georgia Tech","ACC","12-14",0.793629954914315,102.987943437644,146,91.6050272439183,26,64.6302723844388,204,"13.8-17.2","4.1-13.9",-4.08637222399088,120,2015-02-20
70,"Georgia Tech","ACC","12-15",0.776457533388866,102.801191284002,147,92.2519896011519,29,64.3714861068426,207,"13.6-17.4","3.9-14.1",-4.29815998866209,121,2015-02-21
72,"Georgia Tech","ACC","12-15",0.776263285221173,102.830901902354,148,92.2876291792731,32,64.6029265521311,207,"13.6-17.4","3.9-14.1",-4.27751978382185,121,2015-02-22
68,"Georgia Tech","ACC","12-16",0.784378446781694,102.448871148286,159,91.5670132646715,23,64.3022835910026,211,"13.2-17.8","3.6-14.4",-4.71275031235022,136,2015-02-23
68,"Georgia Tech","ACC","12-16",0.783673766731662,102.590920107898,157,91.7271622194166,25,64.498058500545,212,"13.3-17.7","3.6-14.4",-4.68351778805225,134,2015-02-24
68,"Georgia Tech","ACC","12-16",0.782580017119242,102.530830264284,157,91.7247864292684,27,64.2932087815181,210,"13.3-17.7","3.6-14.4",-4.69773418112894,134,2015-02-25
67,"Georgia Tech","ACC","12-16",0.781197048446627,102.533546956046,159,91.7919226690855,24,64.5283970399841,210,"13.3-17.7","3.6-14.4",-4.84047582900534,132,2015-02-26
67,"Georgia Tech","ACC","12-16",0.781272770488989,102.533830475897,159,91.7886400807918,24,64.5284491236483,209,"13.3-17.7","3.6-14.4",-4.83882635386595,132,2015-02-27
72,"Georgia Tech","ACC","12-17",0.769663495642149,102.539547906057,156,92.3276033044092,29,64.2129749555415,209,"12.9-18.1","3.3-14.7",-5.27629240266887,135,2015-02-28
71,"Georgia Tech","ACC","12-17",0.76962888321848,102.539017697315,156,92.3286933022301,29,64.4835211486355,209,"12.9-18.1","3.3-14.7",-5.24328801524831,136,2015-03-01
71,"Georgia Tech","ACC","12-17",0.770134464213262,102.556424305439,156,92.3214540471363,29,64.482497052549,210,"12.9-18.1","3.3-14.7",-5.25655541996207,136,2015-03-02
81,"Georgia Tech","ACC","12-18",0.747765389148599,101.665184306366,179,92.4979681853203,31,64.1963938873732,211,"12.5-18.5","3-15",-5.58474963620168,142,2015-03-03
79,"Georgia Tech","ACC","12-18",0.74784869052427,101.713929160722,178,92.538763304274,29,64.2098209774465,210,"12.5-18.5","3-15",-5.59008482995521,142,2015-03-04
78,"Georgia Tech","ACC","12-18",0.748176652930107,101.726179468324,180,92.5359068337668,30,64.4832032583419,210,"12.5-18.5","3-15",-5.49508648707814,139,2015-03-05
78,"Georgia Tech","ACC","12-18",0.747844891867771,101.72066888361,177,92.5450571757127,29,64.2112238523094,209,"12.5-18.5","3-15",-5.47277708206109,138,2015-03-06
78,"Georgia Tech","ACC","12-18",0.747262908712906,101.657970717645,175,92.5128199783675,30,64.4621221657526,207,"12.5-18.5","3-15",-5.26744807228436,134,2015-03-07
79,"Georgia Tech","ACC","12-18",0.746675086354386,101.656656402776,176,92.5366461936999,29,64.4610023794454,207,"12.5-18.5","3-15",-5.36041663708663,135,2015-03-08
79,"Georgia Tech","ACC","12-18",0.747004165751928,101.668995606735,176,92.5338724227198,29,64.4616486628627,207,"12.5-18.5","3-15",-5.36615869440627,134,2015-03-09
79,"Georgia Tech","ACC","12-19",0.744614851571871,101.994440614117,172,92.9318685490043,36,64.3584157918623,211,"12-19","3-15",-6.00806347912609,145,2015-03-10
78,"Georgia Tech","ACC","12-19",0.745195972661266,101.95662382271,174,92.8727110345408,36,64.3675779783378,210,"12-19","3-15",-6.0181496957789,143,2015-03-11
78,"Georgia Tech","ACC","12-19",0.745161900786052,101.993880210743,170,92.9080976471079,33,64.3874614223709,209,"12-19","3-15",-5.99900559928238,142,2015-03-12
77,"Georgia Tech","ACC","12-19",0.747147876926441,102.036875292157,172,92.8625557644368,33,64.032942191811,209,"12-19","3-15",-6.13193295465116,139,2015-03-13
78,"Georgia Tech","ACC","12-19",0.746745298986395,102.01938281004,174,92.8638332275927,32,64.3728477814766,207,"12-19","3-15",-6.01536898643277,138,2015-03-14
77,"Georgia Tech","ACC","12-19",0.74651111107507,102.01929973885,174,92.8737547020143,32,64.3690275331405,206,"12-19","3-15",-6.0470692711076,138,2015-03-15
77,"Georgia Tech","ACC","12-19",0.746457340725782,102.022077023083,175,92.878577735327,32,64.3688995638454,206,"12-19","3-15",-6.04586011544369,138,2015-03-16
80,"Georgia Tech","ACC","12-19",0.744728090171504,101.982960994506,177,92.9165968071721,33,64.353966572241,209,"12-19","3-15",-5.96172970384983,138,2015-03-17
79,"Georgia Tech","ACC","12-19",0.744390501866456,101.987253343132,175,92.9348507377405,32,64.0674976144597,207,"12-19","3-15",-5.98999178861478,138,2015-03-18
80,"Georgia Tech","ACC","12-19",0.741904600890347,101.911355779538,177,92.9709177934892,32,64.3447777442142,207,"12-19","3-15",-5.97622677988936,138,2015-03-19
81,"Georgia Tech","ACC","12-19",0.738656856093191,101.841253463089,178,93.0435353138034,34,64.072242311943,207,"12-19","3-15",-6.051498655069,138,2015-03-20
78,"Georgia Tech","ACC","12-19",0.741304187992299,101.946249862709,177,93.0280932265552,31,64.0677269425186,206,"12-19","3-15",-6.05076588575224,138,2015-03-21
79,"Georgia Tech","ACC","12-19",0.742489004843105,101.979136356324,175,93.0080470631775,32,64.064816525771,206,"12-19","3-15",-6.10013273623718,138,2015-03-22
78,"Georgia Tech","ACC","12-19",0.741797336002004,101.967501122489,176,93.0266683840878,32,64.3391727917507,208,"12-19","3-15",-6.03418748856856,138,2015-03-23
78,"Georgia Tech","ACC","12-19",0.740803237543672,101.945401575554,178,93.0484393190999,32,64.3324526481335,208,"12-19","3-15",-6.05033738587999,138,2015-03-24
79,"Georgia Tech","ACC","12-19",0.740468519887304,101.93837993989,178,93.0561291483399,32,64.0562910498228,208,"12-19","3-15",-6.08775272119568,138,2015-03-25
78,"Georgia Tech","ACC","12-19",0.743400235794443,101.975174819916,178,92.9658540959567,30,64.3314666844028,208,"12-19","3-15",-6.09695098677926,138,2015-03-26
78,"Georgia Tech","ACC","12-19",0.744044434045354,101.993044163236,178,92.9548212338076,30,64.0521147871401,207,"12-19","3-15",-6.08423371844566,138,2015-03-27
78,"Georgia Tech","ACC","12-19",0.745422486011346,102.029704036343,177,92.9296368622353,30,64.3380730484407,207,"12-19","3-15",-6.08026982485143,138,2015-03-28
78,"Georgia Tech","ACC","12-19",0.746089926662838,102.053308489269,177,92.9226877458065,30,64.3420304129015,207,"12-19","3-15",-6.08954247537932,138,2015-03-29
78,"Georgia Tech","ACC","12-19",0.745700437251305,102.046035853085,177,92.932670706366,30,64.0592074682843,207,"12-19","3-15",-6.09967410532176,138,2015-03-30
78,"Georgia Tech","ACC","12-19",0.745501133933017,102.045978851026,177,92.9411102594816,30,64.0586734548817,207,"12-19","3-15",-6.11311586442112,138,2015-03-31
78,"Georgia Tech","ACC","12-19",0.745495906284535,102.046743866594,177,92.9420296988671,30,64.3409958008625,207,"12-19","3-15",-6.11291700168841,138,2015-04-01
79,"Georgia Tech","ACC","12-19",0.744902380279225,102.035789540831,177,92.9573162216508,30,64.3418916213022,207,"12-19","3-15",-6.14500910078701,139,2015-04-02
79,"Georgia Tech","ACC","12-19",0.744902380278782,102.03578954082,177,92.9573162216599,30,64.3418916213022,207,"12-19","3-15",-6.14500910079952,139,2015-04-03
78,"Georgia Tech","ACC","12-19",0.745985936155354,102.068554827338,177,92.9410057168196,30,64.0573904318072,207,"12-19","3-15",-6.14977832351605,139,2015-04-04
78,"Georgia Tech","ACC","12-19",0.74598593615575,102.068554827348,177,92.9410057168115,30,64.0573904318072,207,"12-19","3-15",-6.14977832350553,139,2015-04-05
78,"Georgia Tech","ACC","12-19",0.746289177627254,102.079095078025,177,92.9376645560743,30,64.3402421363225,207,"12-19","3-15",-6.14919377748605,139,2015-04-06
64,"Georgia Tech","ACC","0-0",0.80329140368487,104.391091169849,113,92.3695172067044,39,69.3058764,232,"17.7-18.3","6.3-11.7",0,51,2015-11-12
62,"Georgia Tech","ACC","1-0",0.798683660192565,105.754866433376,94,93.8117527600044,54,69.9322627218171,195,"17.6-18.4","6.2-11.8",0.0226835386445106,80,2015-11-13
62,"Georgia Tech","ACC","1-0",0.79862733132144,105.785425886884,93,93.8417194737092,54,69.9381170654927,205,"17.6-18.4","6.2-11.8",0.0226879268577983,94,2015-11-14
61,"Georgia Tech","ACC","1-0",0.798680801116501,105.800900977647,93,93.8527336459158,53,69.9637913076286,211,"17.6-18.4","6.2-11.8",0.022141842766097,97,2015-11-15
61,"Georgia Tech","ACC","2-0",0.794328838603272,105.040193092355,107,93.395743285552,45,70.7949510368096,151,"17.7-18.3","6.1-11.9",0.184956076632183,21,2015-11-16
60,"Georgia Tech","ACC","2-0",0.794341745345733,105.059270597815,109,93.41206417356,43,70.7625258167202,155,"17.8-18.2","6.2-11.8",0.188371973273108,30,2015-11-17
62,"Georgia Tech","ACC","2-0",0.796127574104533,105.231660090624,106,93.4761552551913,45,70.7418467591508,160,"17.9-18.1","6.3-11.7",0.188370601437874,31,2015-11-18
54,"Georgia Tech","ACC","3-0",0.826075722716755,107.605211722446,70,93.9708892540615,51,71.5892984253893,98,"19.2-16.8","7-11",0.288394130870561,26,2015-11-19
53,"Georgia Tech","ACC","3-0",0.82614042583156,107.649462520029,73,94.0058512494541,50,71.5322574011221,103,"19.1-16.9","7-11",0.291594031429248,32,2015-11-20
54,"Georgia Tech","ACC","3-0",0.825707912555053,107.596866190781,74,93.9845033408414,48,71.4385579859532,105,"19.1-16.9","6.9-11.1",0.285170944763127,35,2015-11-21
60,"Georgia Tech","ACC","3-1",0.798992177910979,108.01313764881,71,95.7989981306959,68,70.5496292956442,175,"17.1-18.9","6.3-11.7",-0.647620429034694,161,2015-11-22
60,"Georgia Tech","ACC","3-1",0.799338344594606,108.066826434864,71,95.8286416411,68,70.5587114131437,174,"17.4-18.6","6.5-11.5",-0.635973282751655,148,2015-11-23
